committee;chamber;congress;year_start;year_end;full_name;first_name;last_name;party;state;role;;
Budget;Senate;118;2023;2024;Paul Lee;Paul;Lee;Republican;WA;Member;;
Budget;Senate;118;2023;2024;Andrew Thompson;Andrew;Thompson;Democrat;WV;Member;;
Budget;Senate;118;2023;2024;Kenneth White;Kenneth;White;Republican;WI;Member;;
Budget;Senate;118;2023;2024;George Harris;George;Harris;Democrat;WY;Member;;
Commerce; Science; and Transportation;Senate;115;2017;2018;John Thune;John;Thune;Republican;MI;Chair
Commerce; Science; and Transportation;Senate;115;2017;2018;Bill Nelson;Bill;Nelson;Democrat;NY;Ranking Member
Commerce; Science; and Transportation;Senate;115;2017;2018;John Smith;John;Smith;Republican;TX;Member
Commerce; Science; and Transportation;Senate;115;2017;2018;Michael Johnson;Michael;Johnson;Democrat;UT;Member
Commerce; Science; and Transportation;Senate;115;2017;2018;David Williams;David;Williams;Republican;VT;Member
Commerce; Science; and Transportation;Senate;115;2017;2018;Robert Brown;Robert;Brown;Democrat;VA;Member
Commerce; Science; and Transportation;Senate;115;2017;2018;James Jones;James;Jones;Republican;WA;Member
Commerce; Science; and Transportation;Senate;115;2017;2018;William Miller;William;Miller;Democrat;WV;Member
Commerce; Science; and Transportation;Senate;115;2017;2018;Richard Davis;Richard;Davis;Republican;WI;Member
Commerce; Science; and Transportation;Senate;115;2017;2018;Joseph Garcia;Joseph;Garcia;Democrat;WY;Member
Commerce; Science; and Transportation;Senate;115;2017;2018;Thomas Rodriguez;Thomas;Rodriguez;Republican;AL;Member
Commerce; Science; and Transportation;Senate;115;2017;2018;Charles Wilson;Charles;Wilson;Democrat;AK;Member
Commerce; Science; and Transportation;Senate;115;2017;2018;Christopher Martinez;Christopher;Martinez;Republican;AZ;Member
Commerce; Science; and Transportation;Senate;115;2017;2018;Daniel Anderson;Daniel;Anderson;Democrat;AR;Member
Commerce; Science; and Transportation;Senate;115;2017;2018;Matthew Taylor;Matthew;Taylor;Republican;CA;Member
Commerce; Science; and Transportation;Senate;115;2017;2018;Anthony Thomas;Anthony;Thomas;Democrat;CO;Member
Commerce; Science; and Transportation;Senate;115;2017;2018;Mark Moore;Mark;Moore;Republican;CT;Member
Commerce; Science; and Transportation;Senate;115;2017;2018;Donald Jackson;Donald;Jackson;Democrat;DE;Member
Commerce; Science; and Transportation;Senate;115;2017;2018;Steven Martin;Steven;Martin;Republican;FL;Member
Commerce; Science; and Transportation;Senate;115;2017;2018;Paul Lee;Paul;Lee;Democrat;GA;Member
Commerce; Science; and Transportation;Senate;115;2017;2018;Andrew Thompson;Andrew;Thompson;Republican;HI;Member
Commerce; Science; and Transportation;Senate;115;2017;2018;Kenneth White;Kenneth;White;Democrat;ID;Member
Commerce; Science; and Transportation;Senate;115;2017;2018;George Harris;George;Harris;Republican;IL;Member
Commerce; Science; and Transportation;Senate;115;2017;2018;Edward Clark;Edward;Clark;Democrat;IN;Member
Commerce; Science; and Transportation;Senate;115;2017;2018;Brian Lewis;Brian;Lewis;Republican;IA;Member
Commerce; Science; and Transportation;Senate;115;2017;2018;Ronald Robinson;Ronald;Robinson;Democrat;KS;Member
Commerce; Science; and Transportation;Senate;115;2017;2018;Timothy Walker;Timothy;Walker;Republican;KY;Member
Commerce; Science; and Transportation;Senate;115;2017;2018;Jason Young;Jason;Young;Democrat;LA;Member
Commerce; Science; and Transportation;Senate;116;2019;2020;Roger Wicker;Roger;Wicker;Republican;VT;Chair
Commerce; Science; and Transportation;Senate;116;2019;2020;Maria Cantwell;Maria;Cantwell;Democrat;AK;Ranking Member
Commerce; Science; and Transportation;Senate;116;2019;2020;John Smith;John;Smith;Republican;TX;Member
Commerce; Science; and Transportation;Senate;116;2019;2020;Michael Johnson;Michael;Johnson;Democrat;UT;Member
Commerce; Science; and Transportation;Senate;116;2019;2020;David Williams;David;Williams;Republican;VT;Member
Commerce; Science; and Transportation;Senate;116;2019;2020;Robert Brown;Robert;Brown;Democrat;VA;Member
Commerce; Science; and Transportation;Senate;116;2019;2020;James Jones;James;Jones;Republican;WA;Member
Commerce; Science; and Transportation;Senate;116;2019;2020;William Miller;William;Miller;Democrat;WV;Member
Commerce; Science; and Transportation;Senate;116;2019;2020;Richard Davis;Richard;Davis;Republican;WI;Member
Commerce; Science; and Transportation;Senate;116;2019;2020;Joseph Garcia;Joseph;Garcia;Democrat;WY;Member
Commerce; Science; and Transportation;Senate;116;2019;2020;Thomas Rodriguez;Thomas;Rodriguez;Republican;AL;Member
Commerce; Science; and Transportation;Senate;116;2019;2020;Charles Wilson;Charles;Wilson;Democrat;AK;Member
Commerce; Science; and Transportation;Senate;116;2019;2020;Christopher Martinez;Christopher;Martinez;Republican;AZ;Member
Commerce; Science; and Transportation;Senate;116;2019;2020;Daniel Anderson;Daniel;Anderson;Democrat;AR;Member
Commerce; Science; and Transportation;Senate;116;2019;2020;Matthew Taylor;Matthew;Taylor;Republican;CA;Member
Commerce; Science; and Transportation;Senate;116;2019;2020;Anthony Thomas;Anthony;Thomas;Democrat;CO;Member
Commerce; Science; and Transportation;Senate;116;2019;2020;Mark Moore;Mark;Moore;Republican;CT;Member
Commerce; Science; and Transportation;Senate;116;2019;2020;Donald Jackson;Donald;Jackson;Democrat;DE;Member
Commerce; Science; and Transportation;Senate;116;2019;2020;Steven Martin;Steven;Martin;Republican;FL;Member
Commerce; Science; and Transportation;Senate;116;2019;2020;Paul Lee;Paul;Lee;Democrat;GA;Member
Commerce; Science; and Transportation;Senate;116;2019;2020;Andrew Thompson;Andrew;Thompson;Republican;HI;Member
Commerce; Science; and Transportation;Senate;116;2019;2020;Kenneth White;Kenneth;White;Democrat;ID;Member
Commerce; Science; and Transportation;Senate;116;2019;2020;George Harris;George;Harris;Republican;IL;Member
Commerce; Science; and Transportation;Senate;116;2019;2020;Edward Clark;Edward;Clark;Democrat;IN;Member
Commerce; Science; and Transportation;Senate;116;2019;2020;Brian Lewis;Brian;Lewis;Republican;IA;Member
Commerce; Science; and Transportation;Senate;116;2019;2020;Ronald Robinson;Ronald;Robinson;Democrat;KS;Member
Commerce; Science; and Transportation;Senate;116;2019;2020;Timothy Walker;Timothy;Walker;Republican;KY;Member
Commerce; Science; and Transportation;Senate;116;2019;2020;Jason Young;Jason;Young;Democrat;LA;Member
Commerce; Science; and Transportation;Senate;117;2021;2022;Maria Cantwell;Maria;Cantwell;Democrat;AK;Chair
Commerce; Science; and Transportation;Senate;117;2021;2022;Roger Wicker;Roger;Wicker;Republican;VT;Ranking Member
Commerce; Science; and Transportation;Senate;117;2021;2022;John Smith;John;Smith;Democrat;TX;Member
Commerce; Science; and Transportation;Senate;117;2021;2022;Michael Johnson;Michael;Johnson;Republican;UT;Member
Commerce; Science; and Transportation;Senate;117;2021;2022;David Williams;David;Williams;Democrat;VT;Member
Commerce; Science; and Transportation;Senate;117;2021;2022;Robert Brown;Robert;Brown;Republican;VA;Member
Commerce; Science; and Transportation;Senate;117;2021;2022;James Jones;James;Jones;Democrat;WA;Member
Commerce; Science; and Transportation;Senate;117;2021;2022;William Miller;William;Miller;Republican;WV;Member
Commerce; Science; and Transportation;Senate;117;2021;2022;Richard Davis;Richard;Davis;Democrat;WI;Member
Commerce; Science; and Transportation;Senate;117;2021;2022;Joseph Garcia;Joseph;Garcia;Republican;WY;Member
Commerce; Science; and Transportation;Senate;117;2021;2022;Thomas Rodriguez;Thomas;Rodriguez;Democrat;AL;Member
Commerce; Science; and Transportation;Senate;117;2021;2022;Charles Wilson;Charles;Wilson;Republican;AK;Member
Commerce; Science; and Transportation;Senate;117;2021;2022;Christopher Martinez;Christopher;Martinez;Democrat;AZ;Member
Commerce; Science; and Transportation;Senate;117;2021;2022;Daniel Anderson;Daniel;Anderson;Republican;AR;Member
Commerce; Science; and Transportation;Senate;117;2021;2022;Matthew Taylor;Matthew;Taylor;Democrat;CA;Member
Commerce; Science; and Transportation;Senate;117;2021;2022;Anthony Thomas;Anthony;Thomas;Republican;CO;Member
Commerce; Science; and Transportation;Senate;117;2021;2022;Mark Moore;Mark;Moore;Democrat;CT;Member
Commerce; Science; and Transportation;Senate;117;2021;2022;Donald Jackson;Donald;Jackson;Republican;DE;Member
Commerce; Science; and Transportation;Senate;117;2021;2022;Steven Martin;Steven;Martin;Democrat;FL;Member
Commerce; Science; and Transportation;Senate;117;2021;2022;Paul Lee;Paul;Lee;Republican;GA;Member
Commerce; Science; and Transportation;Senate;117;2021;2022;Andrew Thompson;Andrew;Thompson;Democrat;HI;Member
Commerce; Science; and Transportation;Senate;117;2021;2022;Kenneth White;Kenneth;White;Republican;ID;Member
Commerce; Science; and Transportation;Senate;117;2021;2022;George Harris;George;Harris;Democrat;IL;Member
Commerce; Science; and Transportation;Senate;117;2021;2022;Edward Clark;Edward;Clark;Republican;IN;Member
Commerce; Science; and Transportation;Senate;117;2021;2022;Brian Lewis;Brian;Lewis;Democrat;IA;Member
Commerce; Science; and Transportation;Senate;117;2021;2022;Ronald Robinson;Ronald;Robinson;Republican;KS;Member
Commerce; Science; and Transportation;Senate;117;2021;2022;Timothy Walker;Timothy;Walker;Democrat;KY;Member
Commerce; Science; and Transportation;Senate;117;2021;2022;Jason Young;Jason;Young;Republican;LA;Member
Commerce; Science; and Transportation;Senate;118;2023;2024;Maria Cantwell;Maria;Cantwell;Democrat;AK;Chair
Commerce; Science; and Transportation;Senate;118;2023;2024;Ted Cruz;Ted;Cruz;Republican;AL;Ranking Member
Commerce; Science; and Transportation;Senate;118;2023;2024;John Smith;John;Smith;Democrat;TX;Member
Commerce; Science; and Transportation;Senate;118;2023;2024;Michael Johnson;Michael;Johnson;Republican;UT;Member
Commerce; Science; and Transportation;Senate;118;2023;2024;David Williams;David;Williams;Democrat;VT;Member
Commerce; Science; and Transportation;Senate;118;2023;2024;Robert Brown;Robert;Brown;Republican;VA;Member
Commerce; Science; and Transportation;Senate;118;2023;2024;James Jones;James;Jones;Democrat;WA;Member
Commerce; Science; and Transportation;Senate;118;2023;2024;William Miller;William;Miller;Republican;WV;Member
Commerce; Science; and Transportation;Senate;118;2023;2024;Richard Davis;Richard;Davis;Democrat;WI;Member
Commerce; Science; and Transportation;Senate;118;2023;2024;Joseph Garcia;Joseph;Garcia;Republican;WY;Member
Commerce; Science; and Transportation;Senate;118;2023;2024;Thomas Rodriguez;Thomas;Rodriguez;Democrat;AL;Member
Commerce; Science; and Transportation;Senate;118;2023;2024;Charles Wilson;Charles;Wilson;Republican;AK;Member
Commerce; Science; and Transportation;Senate;118;2023;2024;Christopher Martinez;Christopher;Martinez;Democrat;AZ;Member
Commerce; Science; and Transportation;Senate;118;2023;2024;Daniel Anderson;Daniel;Anderson;Republican;AR;Member
Commerce; Science; and Transportation;Senate;118;2023;2024;Matthew Taylor;Matthew;Taylor;Democrat;CA;Member
Commerce; Science; and Transportation;Senate;118;2023;2024;Anthony Thomas;Anthony;Thomas;Republican;CO;Member
Commerce; Science; and Transportation;Senate;118;2023;2024;Mark Moore;Mark;Moore;Democrat;CT;Member
Commerce; Science; and Transportation;Senate;118;2023;2024;Donald Jackson;Donald;Jackson;Republican;DE;Member
Commerce; Science; and Transportation;Senate;118;2023;2024;Steven Martin;Steven;Martin;Democrat;FL;Member
Commerce; Science; and Transportation;Senate;118;2023;2024;Paul Lee;Paul;Lee;Republican;GA;Member
Commerce; Science; and Transportation;Senate;118;2023;2024;Andrew Thompson;Andrew;Thompson;Democrat;HI;Member
Commerce; Science; and Transportation;Senate;118;2023;2024;Kenneth White;Kenneth;White;Republican;ID;Member
Commerce; Science; and Transportation;Senate;118;2023;2024;George Harris;George;Harris;Democrat;IL;Member
Commerce; Science; and Transportation;Senate;118;2023;2024;Edward Clark;Edward;Clark;Republican;IN;Member
Commerce; Science; and Transportation;Senate;118;2023;2024;Brian Lewis;Brian;Lewis;Democrat;IA;Member
Commerce; Science; and Transportation;Senate;118;2023;2024;Ronald Robinson;Ronald;Robinson;Republican;KS;Member
Commerce; Science; and Transportation;Senate;118;2023;2024;Timothy Walker;Timothy;Walker;Democrat;KY;Member
Commerce; Science; and Transportation;Senate;118;2023;2024;Jason Young;Jason;Young;Republican;LA;Member
Energy and Natural Resources;Senate;115;2017;2018;Lisa Murkowski;Lisa;Murkowski;Republican;HI;Chair;;
Energy and Natural Resources;Senate;115;2017;2018;Maria Cantwell;Maria;Cantwell;Democrat;AK;Ranking Member;;
Energy and Natural Resources;Senate;115;2017;2018;John Smith;John;Smith;Republican;NM;Member;;
Energy and Natural Resources;Senate;115;2017;2018;Michael Johnson;Michael;Johnson;Democrat;NY;Member;;
Energy and Natural Resources;Senate;115;2017;2018;David Williams;David;Williams;Republican;NC;Member;;
Energy and Natural Resources;Senate;115;2017;2018;Robert Brown;Robert;Brown;Democrat;ND;Member;;
Energy and Natural Resources;Senate;115;2017;2018;James Jones;James;Jones;Republican;OH;Member;;
Energy and Natural Resources;Senate;115;2017;2018;William Miller;William;Miller;Democrat;OK;Member;;
Energy and Natural Resources;Senate;115;2017;2018;Richard Davis;Richard;Davis;Republican;OR;Member;;
Energy and Natural Resources;Senate;115;2017;2018;Joseph Garcia;Joseph;Garcia;Democrat;PA;Member;;
Energy and Natural Resources;Senate;115;2017;2018;Thomas Rodriguez;Thomas;Rodriguez;Republican;RI;Member;;
Energy and Natural Resources;Senate;115;2017;2018;Charles Wilson;Charles;Wilson;Democrat;SC;Member;;
Energy and Natural Resources;Senate;115;2017;2018;Christopher Martinez;Christopher;Martinez;Republican;SD;Member;;
Energy and Natural Resources;Senate;115;2017;2018;Daniel Anderson;Daniel;Anderson;Democrat;TN;Member;;
Energy and Natural Resources;Senate;115;2017;2018;Matthew Taylor;Matthew;Taylor;Republican;TX;Member;;
Energy and Natural Resources;Senate;115;2017;2018;Anthony Thomas;Anthony;Thomas;Democrat;UT;Member;;
Energy and Natural Resources;Senate;115;2017;2018;Mark Moore;Mark;Moore;Republican;VT;Member;;
Energy and Natural Resources;Senate;115;2017;2018;Donald Jackson;Donald;Jackson;Democrat;VA;Member;;
Energy and Natural Resources;Senate;115;2017;2018;Steven Martin;Steven;Martin;Republican;WA;Member;;
Energy and Natural Resources;Senate;115;2017;2018;Paul Lee;Paul;Lee;Democrat;WV;Member;;
Energy and Natural Resources;Senate;115;2017;2018;Andrew Thompson;Andrew;Thompson;Republican;WI;Member;;
Energy and Natural Resources;Senate;116;2019;2020;Lisa Murkowski;Lisa;Murkowski;Republican;HI;Chair;;
Energy and Natural Resources;Senate;116;2019;2020;Joe Manchin;Joe;Manchin;Democrat;OK;Ranking Member;;
Energy and Natural Resources;Senate;116;2019;2020;John Smith;John;Smith;Republican;NM;Member;;
Energy and Natural Resources;Senate;116;2019;2020;Michael Johnson;Michael;Johnson;Democrat;NY;Member;;
Energy and Natural Resources;Senate;116;2019;2020;David Williams;David;Williams;Republican;NC;Member;;
Energy and Natural Resources;Senate;116;2019;2020;Robert Brown;Robert;Brown;Democrat;ND;Member;;
Energy and Natural Resources;Senate;116;2019;2020;James Jones;James;Jones;Republican;OH;Member;;
Energy and Natural Resources;Senate;116;2019;2020;William Miller;William;Miller;Democrat;OK;Member;;
Energy and Natural Resources;Senate;116;2019;2020;Richard Davis;Richard;Davis;Republican;OR;Member;;
Energy and Natural Resources;Senate;116;2019;2020;Joseph Garcia;Joseph;Garcia;Democrat;PA;Member;;
Energy and Natural Resources;Senate;116;2019;2020;Thomas Rodriguez;Thomas;Rodriguez;Republican;RI;Member;;
Energy and Natural Resources;Senate;116;2019;2020;Charles Wilson;Charles;Wilson;Democrat;SC;Member;;
Energy and Natural Resources;Senate;116;2019;2020;Christopher Martinez;Christopher;Martinez;Republican;SD;Member;;
Energy and Natural Resources;Senate;116;2019;2020;Daniel Anderson;Daniel;Anderson;Democrat;TN;Member;;
Energy and Natural Resources;Senate;116;2019;2020;Matthew Taylor;Matthew;Taylor;Republican;TX;Member;;
Energy and Natural Resources;Senate;116;2019;2020;Anthony Thomas;Anthony;Thomas;Democrat;UT;Member;;
Energy and Natural Resources;Senate;116;2019;2020;Mark Moore;Mark;Moore;Republican;VT;Member;;
Energy and Natural Resources;Senate;116;2019;2020;Donald Jackson;Donald;Jackson;Democrat;VA;Member;;
Energy and Natural Resources;Senate;116;2019;2020;Steven Martin;Steven;Martin;Republican;WA;Member;;
Energy and Natural Resources;Senate;116;2019;2020;Paul Lee;Paul;Lee;Democrat;WV;Member;;
Energy and Natural Resources;Senate;116;2019;2020;Andrew Thompson;Andrew;Thompson;Republican;WI;Member;;
Energy and Natural Resources;Senate;117;2021;2022;Joe Manchin;Joe;Manchin;Democrat;OK;Chair;;
Energy and Natural Resources;Senate;117;2021;2022;John Barrasso;John;Barrasso;Republican;MI;Ranking Member;;
Energy and Natural Resources;Senate;117;2021;2022;John Smith;John;Smith;Democrat;NM;Member;;
Energy and Natural Resources;Senate;117;2021;2022;Michael Johnson;Michael;Johnson;Republican;NY;Member;;
Energy and Natural Resources;Senate;117;2021;2022;David Williams;David;Williams;Democrat;NC;Member;;
Energy and Natural Resources;Senate;117;2021;2022;Robert Brown;Robert;Brown;Republican;ND;Member;;
Energy and Natural Resources;Senate;117;2021;2022;James Jones;James;Jones;Democrat;OH;Member;;
Energy and Natural Resources;Senate;117;2021;2022;William Miller;William;Miller;Republican;OK;Member;;
Energy and Natural Resources;Senate;117;2021;2022;Richard Davis;Richard;Davis;Democrat;OR;Member;;
Energy and Natural Resources;Senate;117;2021;2022;Joseph Garcia;Joseph;Garcia;Republican;PA;Member;;
Energy and Natural Resources;Senate;117;2021;2022;Thomas Rodriguez;Thomas;Rodriguez;Democrat;RI;Member;;
Energy and Natural Resources;Senate;117;2021;2022;Charles Wilson;Charles;Wilson;Republican;SC;Member;;
Energy and Natural Resources;Senate;117;2021;2022;Christopher Martinez;Christopher;Martinez;Democrat;SD;Member;;
Energy and Natural Resources;Senate;117;2021;2022;Daniel Anderson;Daniel;Anderson;Republican;TN;Member;;
Energy and Natural Resources;Senate;117;2021;2022;Matthew Taylor;Matthew;Taylor;Democrat;TX;Member;;
Energy and Natural Resources;Senate;117;2021;2022;Anthony Thomas;Anthony;Thomas;Republican;UT;Member;;
Energy and Natural Resources;Senate;117;2021;2022;Mark Moore;Mark;Moore;Democrat;VT;Member;;
Energy and Natural Resources;Senate;117;2021;2022;Donald Jackson;Donald;Jackson;Republican;VA;Member;;
Energy and Natural Resources;Senate;117;2021;2022;Steven Martin;Steven;Martin;Democrat;WA;Member;;
Energy and Natural Resources;Senate;117;2021;2022;Paul Lee;Paul;Lee;Republican;WV;Member;;
Energy and Natural Resources;Senate;117;2021;2022;Andrew Thompson;Andrew;Thompson;Democrat;WI;Member;;
Energy and Natural Resources;Senate;118;2023;2024;Joe Manchin;Joe;Manchin;Democrat;OK;Chair;;
Energy and Natural Resources;Senate;118;2023;2024;John Barrasso;John;Barrasso;Republican;MI;Ranking Member;;
Energy and Natural Resources;Senate;118;2023;2024;John Smith;John;Smith;Democrat;NM;Member;;
Energy and Natural Resources;Senate;118;2023;2024;Michael Johnson;Michael;Johnson;Republican;NY;Member;;
Energy and Natural Resources;Senate;118;2023;2024;David Williams;David;Williams;Democrat;NC;Member;;
Energy and Natural Resources;Senate;118;2023;2024;Robert Brown;Robert;Brown;Republican;ND;Member;;
Energy and Natural Resources;Senate;118;2023;2024;James Jones;James;Jones;Democrat;OH;Member;;
Energy and Natural Resources;Senate;118;2023;2024;William Miller;William;Miller;Republican;OK;Member;;
Energy and Natural Resources;Senate;118;2023;2024;Richard Davis;Richard;Davis;Democrat;OR;Member;;
Energy and Natural Resources;Senate;118;2023;2024;Joseph Garcia;Joseph;Garcia;Republican;PA;Member;;
Energy and Natural Resources;Senate;118;2023;2024;Thomas Rodriguez;Thomas;Rodriguez;Democrat;RI;Member;;
Energy and Natural Resources;Senate;118;2023;2024;Charles Wilson;Charles;Wilson;Republican;SC;Member;;
Energy and Natural Resources;Senate;118;2023;2024;Christopher Martinez;Christopher;Martinez;Democrat;SD;Member;;
Energy and Natural Resources;Senate;118;2023;2024;Daniel Anderson;Daniel;Anderson;Republican;TN;Member;;
Energy and Natural Resources;Senate;118;2023;2024;Matthew Taylor;Matthew;Taylor;Democrat;TX;Member;;
Energy and Natural Resources;Senate;118;2023;2024;Anthony Thomas;Anthony;Thomas;Republican;UT;Member;;
Energy and Natural Resources;Senate;118;2023;2024;Mark Moore;Mark;Moore;Democrat;VT;Member;;
Energy and Natural Resources;Senate;118;2023;2024;Donald Jackson;Donald;Jackson;Republican;VA;Member;;
Energy and Natural Resources;Senate;118;2023;2024;Steven Martin;Steven;Martin;Democrat;WA;Member;;
Energy and Natural Resources;Senate;118;2023;2024;Paul Lee;Paul;Lee;Republican;WV;Member;;
Energy and Natural Resources;Senate;118;2023;2024;Andrew Thompson;Andrew;Thompson;Democrat;WI;Member;;
Environment and Public Works;Senate;115;2017;2018;John Barrasso;John;Barrasso;Republican;MI;Chair;;
Environment and Public Works;Senate;115;2017;2018;Tom Carper;Tom;Carper;Democrat;NV;Ranking Member;;
Environment and Public Works;Senate;115;2017;2018;John Smith;John;Smith;Republican;OK;Member;;
Environment and Public Works;Senate;115;2017;2018;Michael Johnson;Michael;Johnson;Democrat;OR;Member;;
Environment and Public Works;Senate;115;2017;2018;David Williams;David;Williams;Republican;PA;Member;;
Environment and Public Works;Senate;115;2017;2018;Robert Brown;Robert;Brown;Democrat;RI;Member;;
Environment and Public Works;Senate;115;2017;2018;James Jones;James;Jones;Republican;SC;Member;;
Environment and Public Works;Senate;115;2017;2018;William Miller;William;Miller;Democrat;SD;Member;;
Environment and Public Works;Senate;115;2017;2018;Richard Davis;Richard;Davis;Republican;TN;Member;;
Environment and Public Works;Senate;115;2017;2018;Joseph Garcia;Joseph;Garcia;Democrat;TX;Member;;
Environment and Public Works;Senate;115;2017;2018;Thomas Rodriguez;Thomas;Rodriguez;Republican;UT;Member;;
Environment and Public Works;Senate;115;2017;2018;Charles Wilson;Charles;Wilson;Democrat;VT;Member;;
Environment and Public Works;Senate;115;2017;2018;Christopher Martinez;Christopher;Martinez;Republican;VA;Member;;
Environment and Public Works;Senate;115;2017;2018;Daniel Anderson;Daniel;Anderson;Democrat;WA;Member;;
Environment and Public Works;Senate;115;2017;2018;Matthew Taylor;Matthew;Taylor;Republican;WV;Member;;
Environment and Public Works;Senate;115;2017;2018;Anthony Thomas;Anthony;Thomas;Democrat;WI;Member;;
Environment and Public Works;Senate;115;2017;2018;Mark Moore;Mark;Moore;Republican;WY;Member;;
Environment and Public Works;Senate;115;2017;2018;Donald Jackson;Donald;Jackson;Democrat;AL;Member;;
Environment and Public Works;Senate;115;2017;2018;Steven Martin;Steven;Martin;Republican;AK;Member;;
Environment and Public Works;Senate;115;2017;2018;Paul Lee;Paul;Lee;Democrat;AZ;Member;;
Environment and Public Works;Senate;115;2017;2018;Andrew Thompson;Andrew;Thompson;Republican;AR;Member;;
Environment and Public Works;Senate;116;2019;2020;John Barrasso;John;Barrasso;Republican;MI;Chair;;
Environment and Public Works;Senate;116;2019;2020;Tom Carper;Tom;Carper;Democrat;NV;Ranking Member;;
Environment and Public Works;Senate;116;2019;2020;John Smith;John;Smith;Republican;OK;Member;;
Environment and Public Works;Senate;116;2019;2020;Michael Johnson;Michael;Johnson;Democrat;OR;Member;;
Environment and Public Works;Senate;116;2019;2020;David Williams;David;Williams;Republican;PA;Member;;
Environment and Public Works;Senate;116;2019;2020;Robert Brown;Robert;Brown;Democrat;RI;Member;;
Environment and Public Works;Senate;116;2019;2020;James Jones;James;Jones;Republican;SC;Member;;
Environment and Public Works;Senate;116;2019;2020;William Miller;William;Miller;Democrat;SD;Member;;
Environment and Public Works;Senate;116;2019;2020;Richard Davis;Richard;Davis;Republican;TN;Member;;
Environment and Public Works;Senate;116;2019;2020;Joseph Garcia;Joseph;Garcia;Democrat;TX;Member;;
Environment and Public Works;Senate;116;2019;2020;Thomas Rodriguez;Thomas;Rodriguez;Republican;UT;Member;;
Environment and Public Works;Senate;116;2019;2020;Charles Wilson;Charles;Wilson;Democrat;VT;Member;;
Environment and Public Works;Senate;116;2019;2020;Christopher Martinez;Christopher;Martinez;Republican;VA;Member;;
Environment and Public Works;Senate;116;2019;2020;Daniel Anderson;Daniel;Anderson;Democrat;WA;Member;;
Environment and Public Works;Senate;116;2019;2020;Matthew Taylor;Matthew;Taylor;Republican;WV;Member;;
Environment and Public Works;Senate;116;2019;2020;Anthony Thomas;Anthony;Thomas;Democrat;WI;Member;;
Environment and Public Works;Senate;116;2019;2020;Mark Moore;Mark;Moore;Republican;WY;Member;;
Environment and Public Works;Senate;116;2019;2020;Donald Jackson;Donald;Jackson;Democrat;AL;Member;;
Environment and Public Works;Senate;116;2019;2020;Steven Martin;Steven;Martin;Republican;AK;Member;;
Environment and Public Works;Senate;116;2019;2020;Paul Lee;Paul;Lee;Democrat;AZ;Member;;
Environment and Public Works;Senate;116;2019;2020;Andrew Thompson;Andrew;Thompson;Republican;AR;Member;;
Environment and Public Works;Senate;117;2021;2022;Tom Carper;Tom;Carper;Democrat;NV;Chair;;
Environment and Public Works;Senate;117;2021;2022;Shelley Capito;Shelley;Capito;Republican;CT;Ranking Member;;
Environment and Public Works;Senate;117;2021;2022;John Smith;John;Smith;Democrat;OK;Member;;
Environment and Public Works;Senate;117;2021;2022;Michael Johnson;Michael;Johnson;Republican;OR;Member;;
Environment and Public Works;Senate;117;2021;2022;David Williams;David;Williams;Democrat;PA;Member;;
Environment and Public Works;Senate;117;2021;2022;Robert Brown;Robert;Brown;Republican;RI;Member;;
Environment and Public Works;Senate;117;2021;2022;James Jones;James;Jones;Democrat;SC;Member;;
Environment and Public Works;Senate;117;2021;2022;William Miller;William;Miller;Republican;SD;Member;;
Environment and Public Works;Senate;117;2021;2022;Richard Davis;Richard;Davis;Democrat;TN;Member;;
Environment and Public Works;Senate;117;2021;2022;Joseph Garcia;Joseph;Garcia;Republican;TX;Member;;
Environment and Public Works;Senate;117;2021;2022;Thomas Rodriguez;Thomas;Rodriguez;Democrat;UT;Member;;
Environment and Public Works;Senate;117;2021;2022;Charles Wilson;Charles;Wilson;Republican;VT;Member;;
Environment and Public Works;Senate;117;2021;2022;Christopher Martinez;Christopher;Martinez;Democrat;VA;Member;;
Environment and Public Works;Senate;117;2021;2022;Daniel Anderson;Daniel;Anderson;Republican;WA;Member;;
Environment and Public Works;Senate;117;2021;2022;Matthew Taylor;Matthew;Taylor;Democrat;WV;Member;;
Environment and Public Works;Senate;117;2021;2022;Anthony Thomas;Anthony;Thomas;Republican;WI;Member;;
Environment and Public Works;Senate;117;2021;2022;Mark Moore;Mark;Moore;Democrat;WY;Member;;
Environment and Public Works;Senate;117;2021;2022;Donald Jackson;Donald;Jackson;Republican;AL;Member;;
Environment and Public Works;Senate;117;2021;2022;Steven Martin;Steven;Martin;Democrat;AK;Member;;
Environment and Public Works;Senate;117;2021;2022;Paul Lee;Paul;Lee;Republican;AZ;Member;;
Environment and Public Works;Senate;117;2021;2022;Andrew Thompson;Andrew;Thompson;Democrat;AR;Member;;
Environment and Public Works;Senate;118;2023;2024;Tom Carper;Tom;Carper;Democrat;NV;Chair;;
Environment and Public Works;Senate;118;2023;2024;Shelley Capito;Shelley;Capito;Republican;CT;Ranking Member;;
Environment and Public Works;Senate;118;2023;2024;John Smith;John;Smith;Democrat;OK;Member;;
Environment and Public Works;Senate;118;2023;2024;Michael Johnson;Michael;Johnson;Republican;OR;Member;;
Environment and Public Works;Senate;118;2023;2024;David Williams;David;Williams;Democrat;PA;Member;;
Environment and Public Works;Senate;118;2023;2024;Robert Brown;Robert;Brown;Republican;RI;Member;;
Environment and Public Works;Senate;118;2023;2024;James Jones;James;Jones;Democrat;SC;Member;;
